Time,Temperature,Dew Point,Humidity,Wind,Speed,Gust,Pressure,Precip. Rate.,Precip. Accum.,UV,Solar,Date
,,,,,,,,,,,,2018-10-24
12:04 AM,42.8 °F,15.1 °F,32 °%,NE,0.0 °mph,0.3 °mph,30.56 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2018-10-24
12:09 AM,42.3 °F,14.2 °F,32 °%,NE,0.7 °mph,1.8 °mph,30.56 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2018-10-24
12:14 AM,41.8 °F,14.2 °F,32 °%,East,0.0 °mph,0.0 °mph,30.55 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2018-10-24
12:19 AM,41.3 °F,14.5 °F,33 °%,SE,0.0 °mph,0.0 °mph,30.56 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2018-10-24
12:24 AM,40.7 °F,15.7 °F,36 °%,NE,0.0 °mph,0.1 °mph,30.56 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2018-10-24
12:29 AM,40.1 °F,15.4 °F,36 °%,NE,0.0 °mph,0.2 °mph,30.56 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2018-10-24
12:34 AM,39.7 °F,14.8 °F,36 °%,NE,0.0 °mph,0.1 °mph,30.56 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2018-10-24
12:39 AM,39.5 °F,14.7 °F,36 °%,East,0.0 °mph,0.0 °mph,30.56 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2018-10-24
12:44 AM,39.1 °F,14.9 °F,37 °%,East,0.0 °mph,0.0 °mph,30.56 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2018-10-24
12:49 AM,38.8 °F,15.4 °F,38 °%,ESE,0.0 °mph,0.0 °mph,30.56 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2018-10-24
12:54 AM,38.6 °F,16.1 °F,40 °%,ENE,0.0 °mph,0.0 °mph,30.56 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2018-10-24
12:59 AM,38.5 °F,17.4 °F,42 °%,SE,0.0 °mph,0.0 °mph,30.56 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2018-10-24
1:04 AM,38.3 °F,16.4 °F,41 °%,SE,0.0 °mph,0.0 °mph,30.57 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2018-10-24
1:09 AM,38.1 °F,17.3 °F,43 °%,SE,0.0 °mph,0.0 °mph,30.57 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2018-10-24
1:14 AM,37.9 °F,16.0 °F,40 °%,SE,0.0 °mph,0.0 °mph,30.57 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2018-10-24
1:19 AM,37.6 °F,16.0 °F,41 °%,SE,0.0 °mph,0.0 °mph,30.57 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2018-10-24
1:24 AM,37.3 °F,16.2 °F,42 °%,SE,0.0 °mph,0.0 °mph,30.58 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2018-10-24
1:29 AM,37.1 °F,17.1 °F,44 °%,SE,0.0 °mph,0.0 °mph,30.57 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2018-10-24
1:34 AM,37.0 °F,18.0 °F,46 °%,SE,0.0 °mph,0.0 °mph,30.58 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2018-10-24
1:39 AM,36.7 °F,19.1 °F,48 °%,SE,0.0 °mph,0.0 °mph,30.57 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2018-10-24
1:44 AM,36.4 °F,18.6 °F,48 °%,SE,0.0 °mph,0.0 °mph,30.58 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2018-10-24
1:49 AM,36.2 °F,18.4 °F,48 °%,SE,0.0 °mph,0.0 °mph,30.58 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2018-10-24
1:54 AM,36.1 °F,18.3 °F,48 °%,ENE,0.0 °mph,0.0 °mph,30.58 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2018-10-24
1:59 AM,36.1 °F,18.7 °F,49 °%,NE,0.0 °mph,0.0 °mph,30.58 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2018-10-24
2:04 AM,36.2 °F,19.8 °F,51 °%,NE,0.0 °mph,0.3 °mph,30.58 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2018-10-24
2:09 AM,36.5 °F,18.7 °F,48 °%,NE,0.1 °mph,0.3 °mph,30.58 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2018-10-24
2:14 AM,37.0 °F,18.1 °F,46 °%,NE,0.1 °mph,0.3 °mph,30.58 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2018-10-24
2:19 AM,37.5 °F,18.6 °F,46 °%,NE,0.5 °mph,1.3 °mph,30.57 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2018-10-24
2:24 AM,37.9 °F,19.2 °F,46 °%,NE,0.1 °mph,0.6 °mph,30.58 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2018-10-24
2:29 AM,38.2 °F,19.8 °F,47 °%,ENE,0.0 °mph,0.1 °mph,30.58 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2018-10-24
2:34 AM,38.3 °F,20.4 °F,48 °%,NE,0.0 °mph,0.1 °mph,30.58 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2018-10-24
2:39 AM,38.3 °F,21.2 °F,50 °%,NE,0.2 °mph,0.3 °mph,30.58 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2018-10-24
2:44 AM,38.1 °F,21.2 °F,50 °%,NE,0.0 °mph,0.0 °mph,30.58 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2018-10-24
2:49 AM,37.9 °F,20.3 °F,49 °%,NE,0.0 °mph,0.0 °mph,30.58 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2018-10-24
2:54 AM,37.7 °F,21.0 °F,50 °%,NE,0.0 °mph,0.0 °mph,30.58 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2018-10-24
2:59 AM,37.5 °F,20.8 °F,51 °%,NE,0.0 °mph,0.1 °mph,30.57 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2018-10-24
3:04 AM,37.4 °F,20.1 °F,49 °%,ENE,0.0 °mph,0.0 °mph,30.57 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2018-10-24
3:09 AM,37.2 °F,20.2 °F,50 °%,NE,0.4 °mph,1.1 °mph,30.57 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2018-10-24
3:14 AM,37.2 °F,21.3 °F,52 °%,NE,0.6 °mph,1.5 °mph,30.56 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2018-10-24
3:19 AM,37.3 °F,21.3 °F,52 °%,NE,0.4 °mph,1.4 °mph,30.56 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2018-10-24
3:24 AM,37.4 °F,21.4 °F,52 °%,NE,1.0 °mph,2.1 °mph,30.56 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2018-10-24
3:29 AM,37.4 °F,20.5 °F,50 °%,NE,0.3 °mph,1.3 °mph,30.56 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2018-10-24
3:34 AM,37.4 °F,19.8 °F,49 °%,NE,0.8 °mph,1.6 °mph,30.56 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2018-10-24
3:39 AM,37.3 °F,19.9 °F,49 °%,NE,0.1 °mph,0.9 °mph,30.56 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2018-10-24
3:44 AM,37.1 °F,20.2 °F,50 °%,NE,0.0 °mph,0.0 °mph,30.56 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2018-10-24
3:49 AM,36.8 °F,20.3 °F,51 °%,NE,0.1 °mph,0.3 °mph,30.56 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2018-10-24
3:54 AM,36.5 °F,20.5 °F,52 °%,ENE,0.0 °mph,0.0 °mph,30.56 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2018-10-24
3:59 AM,36.1 °F,20.9 °F,54 °%,ESE,0.0 °mph,0.0 °mph,30.57 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2018-10-24
4:04 AM,35.8 °F,20.9 °F,54 °%,SE,0.0 °mph,0.0 °mph,30.57 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2018-10-24
4:09 AM,35.5 °F,21.1 °F,56 °%,SE,0.0 °mph,0.0 °mph,30.58 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2018-10-24
4:14 AM,35.2 °F,21.5 °F,57 °%,SE,0.0 °mph,0.0 °mph,30.58 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2018-10-24
4:19 AM,35.0 °F,22.0 °F,59 °%,SE,0.0 °mph,0.0 °mph,30.58 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2018-10-24
4:24 AM,34.8 °F,22.4 °F,60 °%,SE,0.0 °mph,0.0 °mph,30.58 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2018-10-24
4:29 AM,34.5 °F,22.2 °F,60 °%,SE,0.0 °mph,0.0 °mph,30.58 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2018-10-24
4:34 AM,34.4 °F,22.5 °F,61 °%,SE,0.0 °mph,0.0 °mph,30.58 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2018-10-24
4:39 AM,34.1 °F,22.5 °F,62 °%,SE,0.0 °mph,0.0 °mph,30.58 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2018-10-24
4:44 AM,34.0 °F,22.4 °F,63 °%,SE,0.0 °mph,0.0 °mph,30.58 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2018-10-24
4:49 AM,33.8 °F,22.4 °F,63 °%,SE,0.0 °mph,0.0 °mph,30.58 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2018-10-24
4:54 AM,33.7 °F,22.5 °F,63 °%,SE,0.0 °mph,0.0 °mph,30.58 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2018-10-24
4:59 AM,33.5 °F,22.5 °F,63 °%,SE,0.0 °mph,0.0 °mph,30.59 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2018-10-24
5:04 AM,33.4 °F,22.6 °F,64 °%,SE,0.0 °mph,0.0 °mph,30.59 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2018-10-24
5:09 AM,33.2 °F,22.4 °F,64 °%,SE,0.0 °mph,0.0 °mph,30.59 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2018-10-24
5:14 AM,33.1 °F,22.6 °F,65 °%,SE,0.0 °mph,0.0 °mph,30.58 °in,0.00 °in,0.00 °in,0.0,0 w/m²,2018-10-24
